user_id_idx,reviewerID,rank,item_id_idx,asin,title,predicted_rating
4614,A2M1WDT2R9WZ4F,1,24521,B00J1QAPKY,The Mask of Zorro / The Legend of Zorro (Double Feature),5.8109
4614,A2M1WDT2R9WZ4F,2,15499,B00632KSCY,Searchers / Wild Bunch / How the West Was Won,5.7781
4614,A2M1WDT2R9WZ4F,3,18632,B001E75QHU,A Colbert Christmas: The Greatest Gift of All!,5.7005
4614,A2M1WDT2R9WZ4F,4,25724,B00006LHB9,Louisiana Purchase / Never Say Die Double Feature,5.6755
4614,A2M1WDT2R9WZ4F,5,14156,B0006212JK,Poirot - The New Mysteries Collection: (Death on the Nile / Sad Cypress / The Hollow / Five Little Pigs),5.6238
4614,A2M1WDT2R9WZ4F,6,44422,B000SSONFC,Do You Trust Your Wife? - Volume 1,5.6215
4614,A2M1WDT2R9WZ4F,7,28076,B001JAHQ52,Girlfriends: Season 7,5.5035
4614,A2M1WDT2R9WZ4F,8,48410,B0031JMLNQ,Steve Martin 3-DVD Box Set: L.A. Story / All of Me / Novocaine,5.4927
4614,A2M1WDT2R9WZ4F,9,9892,B008VNI9EW,I Love Lucy: Seasons 7-9,5.4859
4614,A2M1WDT2R9WZ4F,10,21582,B00AZL307O,WWE: For All Mankind- The Life and Career of Mick Foley,5.4847
6749,A3BBIP7Y5YBL6,1,25929,B000SQFBY6,Out Of The Blue: A Film About Life &amp; Football at Boise State,7.2039
6749,A3BBIP7Y5YBL6,2,18579,B000JJRYDI,In Her Line of Fire,6.967
6749,A3BBIP7Y5YBL6,3,22458,6305436339,Pre-Code Hollywood - The Risque Years Of Human Bondage / Millie / Kept Husbands,6.8382
6749,A3BBIP7Y5YBL6,4,29579,B00AKFF6PE,Phineas &amp; Ferb: The Perry Files - Animal Agents,6.7165
6749,A3BBIP7Y5YBL6,5,9832,B0000V46D6,Queer as Folk: Season 3,6.6885
6749,A3BBIP7Y5YBL6,6,9813,B00003CXQ0,Rugrats in Paris - The Movie VHS,6.583
6749,A3BBIP7Y5YBL6,7,8079,B003RHZ666,Apache Rifles,6.5819
6749,A3BBIP7Y5YBL6,8,31178,5553799260,Hide 'em in Your Heart: 13 Bible Memory Music Videos for Children of All Ages,6.5555
6749,A3BBIP7Y5YBL6,9,16172,B004I1BEHU,AMOS 'n ANDY Show ALL 74 TV Shows DIGITALLY RESTORED,6.5447
6749,A3BBIP7Y5YBL6,10,16668,B018V1ZY3M,"Hunt, The (BBC/DVD)",6.5431
8540,A2E3W3YV5R6BLU,1,18632,B001E75QHU,A Colbert Christmas: The Greatest Gift of All!,5.4904
8540,A2E3W3YV5R6BLU,2,13107,B000T5MP7C,D.L. Hughley: Unapologetic,5.4299
8540,A2E3W3YV5R6BLU,3,15892,B00VX223UY,WKRP In Cincinnati: Season 3,5.3716
8540,A2E3W3YV5R6BLU,4,13650,B001E6HUXO,"Rawhide - Season Three, Vol. 2",5.3276
8540,A2E3W3YV5R6BLU,5,18910,6305460183,Ju Dou,5.2748
8540,A2E3W3YV5R6BLU,6,15607,6300215970,Waterhole # 3 VHS,5.2636
8540,A2E3W3YV5R6BLU,7,2797,6305300887,The Temptations VHS,5.2367
8540,A2E3W3YV5R6BLU,8,17028,B00IN3PU74,Lexx: Seasons 1 &amp; 2,5.228
8540,A2E3W3YV5R6BLU,9,1590,B009DS6YGO,Foyle's War: Set 7,5.2156
8540,A2E3W3YV5R6BLU,10,26828,B000FI8MMU,Rock 'n' Roll Nightmare,5.2154
11254,ANMFFCVZ3KM81,1,14610,B00O1D3AX6,Naruto Shippuden Uncut Set 21,3.6889
11254,ANMFFCVZ3KM81,2,4681,B002N5N5LG,Community: Season 1,3.6636
11254,ANMFFCVZ3KM81,3,49169,B00EUEBL0K,Masha and the bear 37 series Russian + English sound licensed edition + GIFT pendant,3.6354
11254,ANMFFCVZ3KM81,4,22302,B00II50JLE,Fairy Tail: Part 10,3.6258
11254,ANMFFCVZ3KM81,5,10150,B0007YXPRE,Peep and the Big Wide World,3.6068
11254,ANMFFCVZ3KM81,6,16912,B002WBYDMG,Dorf: Super Fan Collection,3.6009
11254,ANMFFCVZ3KM81,7,31657,B000F5EDVC,Cedarmont Kids - Toddler Action Songs DVD,3.5965
11254,ANMFFCVZ3KM81,8,31076,B00W7AHDX8,Yu-Gi-Oh Gx: Season 2,3.5942
11254,ANMFFCVZ3KM81,9,7111,B00GHJX8W0,Naruto Shippuden The Movie: Blood Prison,3.5807
11254,ANMFFCVZ3KM81,10,8453,B01BKTG026,"Walk On: 6 Mile Mix - Workout Videos For Women, Low Impact, Cardio and Sculpting Exercise For Fat Burning",3.5706
12969,A2OPD3QH9V9581,1,30605,B002BIULN0,One Foot in the Grave: The Christmas Specials,5.7829
12969,A2OPD3QH9V9581,2,34828,B000AAWF0I,Le Ma&icirc;tre de Musique (The Music Teacher),5.768
12969,A2OPD3QH9V9581,3,31869,B001CP1UMY,To the Limit,5.707
12969,A2OPD3QH9V9581,4,4055,B001E0O8DA,Get Smart: The Complete Series Gift Set,5.6835
12969,A2OPD3QH9V9581,5,16668,B018V1ZY3M,"Hunt, The (BBC/DVD)",5.6784
12969,A2OPD3QH9V9581,6,29217,B0019LQ1Z2,Messner,5.6779
12969,A2OPD3QH9V9581,7,17339,B004I1JYI6,4 Movie Marathon Dark Comedy: Serial Mom / Nurse Betty / Very Bad Things / Your Friends &amp; Neighbors,5.6259
12969,A2OPD3QH9V9581,8,17384,B00A92MCNW,Dream West,5.6176
12969,A2OPD3QH9V9581,9,8406,B00274SIVK,The Lucy Show: The Official First Season,5.5947
12969,A2OPD3QH9V9581,10,20085,B000F4RHC0,All Passion Spent,5.579
13799,A2Y6IDYSDC9QTY,1,19193,B0079ILHZS,Todd &amp; the Book of Pure Evil - The Complete Second Season,6.3526
13799,A2Y6IDYSDC9QTY,2,11464,B00AJXO56I,Law &amp; Order: Criminal Intent: The Final Year,6.2661
13799,A2Y6IDYSDC9QTY,3,11632,B004ZB92G8,Breathless Body: The Ultimate Calorie Burn,6.2661
13799,A2Y6IDYSDC9QTY,4,12743,B00PR2IC8I,"Yoga for Seniors with Jane Adams (2nd edition): Improve Balance, Strength &amp; Flexibility with Gentle Senior Yoga, now with 3 complete practices.",6.2651
13799,A2Y6IDYSDC9QTY,5,10007,B0016KCCCM,The Boondocks: Season 2,6.2308
13799,A2Y6IDYSDC9QTY,6,26930,B0013LEBBE,Roller Coasters in the Raw: Volume 1,6.193
13799,A2Y6IDYSDC9QTY,7,8868,B0009PW3SI,WWE: Backlash 2005,6.1737
