review_ym,n_reviews,avg_rating
1997-12,1,5.0
1998-01,3,4.0
1998-02,3,5.0
1998-03,3,4.0
1998-04,5,5.0
1998-05,11,4.4545
1998-06,8,5.0
1998-07,8,4.5
1998-08,16,3.9375
1998-09,5,5.0
1998-10,10,4.6
1998-11,44,4.2955
1998-12,104,4.0962
1999-01,102,4.0196
1999-02,101,3.9505
1999-03,137,4.0657
1999-04,208,4.1587
1999-05,222,3.8739
1999-06,254,3.9488
1999-07,198,3.8687
1999-08,210,4.0
1999-09,215,3.8977
1999-10,376,3.9601
1999-11,422,3.9621
1999-12,1068,3.9448
2000-01,1206,3.9287
2000-02,1293,3.9033
2000-03,1339,3.9806
2000-04,1796,4.0546
2000-05,2020,3.9941
2000-06,2252,4.0036
2000-07,1969,3.9162
2000-08,1896,3.9742
2000-09,1415,3.9541
2000-10,1648,3.9994
2000-11,1319,3.9689
2000-12,1679,3.9208
2001-01,1805,3.9512
2001-02,1698,3.9217
2001-03,1777,3.9578
2001-04,1692,3.9758
2001-05,2028,4.0385
2001-06,2383,3.9748
2001-07,2541,3.9268
2001-08,2562,3.95
2001-09,2032,3.9828
2001-10,2306,3.9827
2001-11,2324,3.9884
2001-12,2265,3.9916
2002-01,2667,3.9663
2002-02,2108,3.962
2002-03,2880,3.9257
2002-04,2527,3.9885
2002-05,2332,3.9824
2002-06,2616,4.0428
2002-07,2920,3.9983
2002-08,2858,4.0038
2002-09,2449,3.9624
2002-10,2406,3.9846
2002-11,2343,4.0256
2002-12,2527,3.9885
2003-01,2965,4.0169
2003-02,2361,4.0496
2003-03,2610,3.9866
2003-04,2483,4.0036
2003-05,2310,4.0043
2003-06,2581,4.0391
2003-07,3210,3.996
2003-08,2409,3.9332
2003-09,2459,3.963
2003-10,2916,3.8741
2003-11,3024,3.9706
2003-12,3219,3.963
2004-01,3858,3.9028
2004-02,3492,3.8336
2004-03,3366,3.9011
2004-04,3426,3.9854
2004-05,3657,3.9814
2004-06,3917,3.9765
2004-07,3947,3.8964
2004-08,4012,3.923
2004-09,3534,3.9519
2004-10,3908,3.9995
2004-11,3796,3.9476
2004-12,4339,3.9935
2005-01,4630,3.8616
2005-02,3713,3.9265
2005-03,4467,3.9091
2005-04,4059,3.9079
2005-05,4340,3.8737
2005-06,4319,3.8859
2005-07,4909,3.9369
2005-08,5095,3.935
2005-09,4670,3.9645
2005-10,4535,3.9407
2005-11,4085,3.9461
2005-12,4288,3.9739
2006-01,4707,3.9395
2006-02,4469,3.9723
2006-03,4875,3.9795
2006-04,3960,3.9957
2006-05,3864,3.941
2006-06,4348,3.9225
2006-07,4224,3.9811
2006-08,4299,4.014
2006-09,3414,3.9558
2006-10,3423,4.0298
2006-11,3943,4.0872
2006-12,3644,4.0192
2007-01,6420,4.1746
2007-02,4642,4.0814
2007-03,5513,4.0961
2007-04,4407,3.9923
2007-05,5275,4.1454
2007-06,4801,4.0833
2007-07,5104,4.0842
2007-08,5220,4.0341
2007-09,4816,4.0378
2007-10,4748,4.0103
2007-11,4646,4.0491
2007-12,5380,4.0823
2008-01,6010,4.0446
2008-02,5489,4.0135
2008-03,5590,3.9928
2008-04,5671,4.0369
2008-05,5157,3.9938
2008-06,5529,3.9447
2008-07,5801,3.9669
2008-08,5329,3.982
2008-09,5206,3.9842
2008-10,5416,3.9994
2008-11,5262,4.0487
2008-12,6202,3.9658
2009-01,7078,4.0308
2009-02,6006,3.9953
2009-03,6127,3.9984
2009-04,5658,4.0141
2009-05,6370,3.9253
2009-06,6197,3.9734
2009-07,5716,3.9265
2009-08,5499,3.9238
2009-09,5958,4.0211
2009-10,5796,3.9631
2009-11,6149,3.967
2009-12,7069,4.012
2010-01,7092,3.9907
2010-02,6334,4.0335
2010-03,6623,3.9536
2010-04,5551,3.9467
